ADDRESS,LOCATION,CITY,FAI ID,ASSET TAG,ASSET TYPE,MANUFACTURER,MODEL,SERIAL,MANUFACTURER DATE,CONDITION,CREATED,NOTES,SOURCE,UNIQUE FIELDS,STATE,ZIP,REFRIGERANT CHARGE,REFRIGERANT UNIT,REFRIGERANT TYPE,AREA
500 INDUSTRIAL BLVD,Metro Service Center,Austin,770487,7700828,Electrical Panel,Manufacturer Not Listed,0,UNKNOWN,,Fair,2025-10-27,Good,FORM_SUBMISSION,{},TX,78701,,,,Outside
500 INDUSTRIAL BLVD,Metro Service Center,Austin,216739,7073292,Vr (Veeder Root),Veeder-Root,0,UNKNOWN,,Fair,2025-10-27,Good,FORM_SUBMISSION,{},TX,78701,,,,Back Office / Business Office
500 INDUSTRIAL BLVD,Metro Service Center,Austin,126225,4679591,Printer/Machine,Manufacturer Not Listed,0,UNKNOWN,,Good,2025-10-27,Good,FORM_SUBMISSION,{},TX,78701,,,,Back Office / Business Office
500 INDUSTRIAL BLVD,Metro Service Center,Austin,877572,3320821,Printer/Machine,Mako Network,UNKNOWN,UNKNOWN,,Good,2025-10-27,Good,FORM_SUBMISSION,{},TX,78701,,,,Back Office / Business Office
500 INDUSTRIAL BLVD,Metro Service Center,Austin,388389,9548432,Electrical Panel,Siemens,0,UNKNOWN,,Excellent,2025-10-27,Good,FORM_SUBMISSION,{},TX,78701,,,,Back Office / Business Office
500 INDUSTRIAL BLVD,Metro Service Center,Austin,356787,9279821,Electrical Panel,Manufacturer Not Listed,0,UNKNOWN,,Fair,2025-10-27,Good,FORM_SUBMISSION,{},TX,78701,,,,Back Office / Business Office
500 INDUSTRIAL BLVD,Metro Service Center,Austin,334053,2525206,Air Fryer,Ninja,0,UNKNOWN,,Fair,2025-10-27,G,FORM_SUBMISSION,{},TX,78701,,,,Back Prep Area
500 INDUSTRIAL BLVD,Metro Service Center,Austin,246316,1790481,Convection Oven,Otis,0,UNKNOWN,,Fair,2025-10-27,Good,FORM_SUBMISSION,{},TX,78701,,,,Back Prep Area
500 INDUSTRIAL BLVD,Metro Service Center,Austin,872246,2839607,Coffee/Tea Brewer,Bunn,TF SERVER 15G MECH GEN3,TFC1119907,,Good,2025-10-27,Good,FORM_SUBMISSION,{},TX,78701,,,,Back Prep Area
500 INDUSTRIAL BLVD,Metro Service Center,Austin,207473,3564251,Hand Sink,Advance Tabco,0,UNKNOWN,,Fair,2025-10-27,Good,FORM_SUBMISSION,{},TX,78701,,,,Back Prep Area
500 INDUSTRIAL BLVD,Metro Service Center,Austin,809570,3684052,1 Door Reach-In Refrigerator,Duke Manufacturing Co,GDM23HCTSL01,9186711,05/23/2017,Fair,,Good,FORM_SUBMISSION,{},TX,78701,4.1,OZ,R290,Back Prep Area
500 INDUSTRIAL BLVD,Metro Service Center,Austin,876646,8082668,1 Door Reach-In Refrigerator,Everest Refrigeration,EMGF23,BMGF2316120003,04/16/2023,Good,2025-10-27,Good,FORM_SUBMISSION,{},TX,78701,19.75,OZ,R404A,Back Prep Area
500 INDUSTRIAL BLVD,Metro Service Center,Austin,671858,2065818,2 Door Upright Reach-In Freezer,True Manufacturing,T-23F,1-2915900,05/06/2001,Fair,2025-10-27,Good,FORM_SUBMISSION,{},TX,78701,12,OZ,R404A,Back Prep Area
500 INDUSTRIAL BLVD,Metro Service Center,Austin,191161,7455324,2 Door Upright Reach-In Freezer,Beverage-Air Corporation,HBF49-1,11307357,07/24/2011,Good,2025-10-27,Good,FORM_SUBMISSION,{},TX,78701,26,lb,R404A,Back Prep Area
500 INDUSTRIAL BLVD,Metro Service Center,Austin,719176,7402509,3 Compartment Sink,Manufacturer Not Listed,0,UNKNOWN,,Fair,2025-10-27,Good,FORM_SUBMISSION,{},TX,78701,,,,Back Prep Area
500 INDUSTRIAL BLVD,Metro Service Center,Austin,542417,8852574,Mop Sink,Manufacturer Not Listed,0,UNKNOWN,,Poor,2025-10-27,Fair,FORM_SUBMISSION,{},TX,78701,,,,Back Prep Area
500 INDUSTRIAL BLVD,Metro Service Center,Austin,133326,9877065,Fire Suppression System Kit/Hood,0Ahu Fire Protection Inc.,0,UNKNOWN,,Excellent,2025-10-27,Good,FORM_SUBMISSION,{},TX,78701,,,,Back Prep Area
500 INDUSTRIAL BLVD,Metro Service Center,Austin,131244,5218028,Printer/Machine,Linksys,E5350,30K10M2BC04373,,Fair,2025-10-27,Good,FORM_SUBMISSION,{},TX,78701,,,,Inside Store
500 INDUSTRIAL BLVD,Metro Service Center,Austin,198246,1192619,Printer/Machine,Linksys,E5350,30K10M2BC03688,,Fair,2025-10-27,Good,FORM_SUBMISSION,{},TX,78701,,,,Inside Store
