ADDRESS,LOCATION,CITY,FAI ID,ASSET TAG,ASSET TYPE,MANUFACTURER,MODEL,SERIAL,MANUFACTURER DATE,CONDITION,CREATED,DATE OF BIRTH,NOTES,POWER SOURCE,SOURCE,TEMP ALERT TAG,UNIQUE FIELDS,STATE,ZIP,AMPS,VOLTAGE,WATTAGE,REFRIGERANT CHARGE,REFRIGERANT UNIT,REFRIGERANT TYPE,AREA,SUB AREA,PHOTO TYPE (1),PHOTO URL (1),PHOTO TYPE (2),PHOTO URL (2),PHOTO TYPE (3),PHOTO URL (3)
500 INDUSTRIAL BLVD,METRO SERVICE CENTER,AUSTIN,770487,7700828,ELECTRICAL PANEL,1 - MANUFACTURER NOT LISTED,0,,,3,10/27/2025,,Good,,FORM_SUBMISSION,,{},TX,78701,,,,,,,OUTSIDE,,EQUIPMENT,https://placeholder.com/equipment_photo_1.jpg,ID_TAG,https://placeholder.com/equipment_photo_2.jpg,,
500 INDUSTRIAL BLVD,METRO SERVICE CENTER,AUSTIN,216739,7073292,VR (Veeder Root),VEEDER-ROOT,0,,,3,10/27/2025,,Good,,FORM_SUBMISSION,,{},TX,78701,,,,,,,BACK OFFICE / BUSINESS OFFICE,,EQUIPMENT,https://placeholder.com/equipment_photo_1.jpg,ID_TAG,https://placeholder.com/equipment_photo_2.jpg,,
500 INDUSTRIAL BLVD,METRO SERVICE CENTER,AUSTIN,126225,4679591,Printer/Machine,1 - MANUFACTURER NOT LISTED,0,,,4,10/27/2025,,Good,,FORM_SUBMISSION,,{},TX,78701,,,,,,,BACK OFFICE / BUSINESS OFFICE,,EQUIPMENT,https://placeholder.com/equipment_photo_1.jpg,ID_TAG,https://placeholder.com/equipment_photo_2.jpg,,
500 INDUSTRIAL BLVD,METRO SERVICE CENTER,AUSTIN,877572,3320821,Printer/Machine,MAKO NETWORK,,,,4,10/27/2025,,Good,,FORM_SUBMISSION,,{},TX,78701,,,,,,,BACK OFFICE / BUSINESS OFFICE,,EQUIPMENT,https://placeholder.com/equipment_photo_1.jpg,ID_TAG,https://placeholder.com/equipment_photo_2.jpg,,
500 INDUSTRIAL BLVD,METRO SERVICE CENTER,AUSTIN,388389,9548432,ELECTRICAL PANEL,SIEMENS,0,,,5,10/27/2025,,Good,,FORM_SUBMISSION,,{},TX,78701,,,,,,,BACK OFFICE / BUSINESS OFFICE,,EQUIPMENT,https://placeholder.com/equipment_photo_1.jpg,ID_TAG,https://placeholder.com/equipment_photo_2.jpg,,
500 INDUSTRIAL BLVD,METRO SERVICE CENTER,AUSTIN,356787,9279821,ELECTRICAL PANEL,1 - MANUFACTURER NOT LISTED,0,,,3,10/27/2025,,Good,,FORM_SUBMISSION,,{},TX,78701,,,,,,,BACK OFFICE / BUSINESS OFFICE,,EQUIPMENT,https://placeholder.com/equipment_photo_1.jpg,ID_TAG,https://placeholder.com/equipment_photo_2.jpg,,
500 INDUSTRIAL BLVD,METRO SERVICE CENTER,AUSTIN,334053,2525206,Air Fryer,NINJA,0,,,3,10/27/2025,,G,,FORM_SUBMISSION,,{},TX,78701,,,,,,,BACK PREP AREA,,EQUIPMENT,https://placeholder.com/equipment_photo_1.jpg,ID_TAG,https://placeholder.com/equipment_photo_2.jpg,,
500 INDUSTRIAL BLVD,METRO SERVICE CENTER,AUSTIN,246316,1790481,CONVECTION OVEN,OTIS,0,,,3,10/27/2025,,Good,,FORM_SUBMISSION,,{},TX,78701,,,,,,,BACK PREP AREA,,EQUIPMENT,https://placeholder.com/equipment_photo_1.jpg,ID_TAG,https://placeholder.com/equipment_photo_2.jpg,,
500 INDUSTRIAL BLVD,METRO SERVICE CENTER,AUSTIN,872246,2839607,COFFEE/TEA BREWER,BUNN,TF SERVER 15G MECH GEN3,TFC1119907,,4,10/27/2025,,Good,,FORM_SUBMISSION,,{},TX,78701,,,,,,,BACK PREP AREA,,EQUIPMENT,https://placeholder.com/equipment_photo_1.jpg,MANUFACTURER_PLATE,https://placeholder.com/equipment_photo_2.jpg,ID_TAG,https://placeholder.com/equipment_photo_3.jpg
500 INDUSTRIAL BLVD,METRO SERVICE CENTER,AUSTIN,207473,3564251,Hand sink,ADVANCE TABCO,0,,,3,10/27/2025,,Good,,FORM_SUBMISSION,,{},TX,78701,,,,,,,BACK PREP AREA,,EQUIPMENT,https://placeholder.com/equipment_photo_1.jpg,ID_TAG,https://placeholder.com/equipment_photo_2.jpg,,
